Part Number,Category,Bin Model,Rings,Weight (lbs),Weight (kg),Capacity (bu),Capacity (tons),Diameter (ft),Diameter (m),Eave Height (ft),Eave Height (m),Peak Height (ft),Peak Height (m),Roof Angle (degrees),Corrugation,Bottom
232155,Commercial,Model 4823 Wide-Corr Centurion Bin,23,92900,42150,135040,3663,48,14.6304,84.5,25.76,97.5,29.73,28.48893174,Wide,Flat
232161,Commercial,Model 5409 Wide-Corr Centurion Bin STRUCTURED ROOF,09,34700,15700,72290,1961,54,16.4592,33.2,10.11,47.7,14.55,28.34756685,Wide,Flat
232161,Commercial,Model 5409 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,09,29600,13400,72720,4972,54,16.4592,33.2,10.11,47.7,14.55,28.34756685,Wide,Flat
232162,Commercial,Model 5410 Wide-Corr Centurion Bin STRUCTURED ROOF,10,38200,17350,79370,2153,54,16.4592,36.8,11.23,51.4,15.66,28.29361428,Wide,Flat
232162,Commercial,Model 5410 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,10,33100,15000,79800,2164,54,16.4592,36.8,11.23,51.4,15.66,28.29361428,Wide,Flat
232163,Commercial,Model 5411 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,11,36700,16650,86880,2356,54,16.4592,40.5,12.35,55.1,16.78,28.29361428,Wide,Flat
232163,Commercial,Model 5411 Wide-Corr Centurion Bin STRUCTURED ROOF,11,41800,18950,86450,2345,54,16.4592,40.5,12.35,55.1,16.78,28.29361428,Wide,Flat
232164,Commercial,Model 5412 Wide-Corr Centurion Bin STRUCTURED ROOF,12,45400,20600,93530,2537,54,16.4592,44.2,13.46,58.7,17.9,28.34756685,Wide,Flat
232164,Commercial,Model 5412 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,12,40300,18250,93960,2549,54,16.4592,44.2,13.46,58.7,17.9,28.34756685,Wide,Flat
232165,Commercial,Model 5413 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,13,43900,19900,101040,2741,54,16.4592,47.8,14.58,62.4,19.02,28.34756685,Wide,Flat
232165,Commercial,Model 5413 Wide-Corr Centurion Bin STRUCTURED ROOF,13,49000,22200,100610,2729,54,16.4592,47.8,14.58,62.4,19.02,28.34756685,Wide,Flat
232166,Commercial,Model 5414 Wide-Corr Centurion Bin STRUCTURED ROOF,14,54100,24500,107700,2921,54,16.4592,51.5,15.7,66.1,20.13,28.29361428,Wide,Flat
232166,Commercial,Model 5414 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,14,49000,22200,108120,2933,54,16.4592,51.5,15.7,66.1,20.13,28.29361428,Wide,Flat
232167,Commercial,Model 5415 Wide-Corr Centurion Bin STRUCTURED ROOF,15,58100,26350,114780,3113,54,16.4592,55.2,16.82,69.7,21.25,28.29361428,Wide,Flat
232167,Commercial,Model 5415 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,15,53100,24050,115200,3125,54,16.4592,55.2,16.82,69.7,21.25,28.29361428,Wide,Flat
232168,Commercial,Model 5416 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,16,57800,26250,1222860,3317,54,16.4592,58.8,17.93,73.4,22.37,28.34756685,Wide,Flat
232168,Commercial,Model 5416 Wide-Corr Centurion Bin STRUCTURED ROOF,16,62900,28550,121860,3305,54,16.4592,58.8,17.93,73.4,22.37,28.34756685,Wide,Flat
232169,Commercial,Model 5417 Wide-Corr Centurion Bin STRUCTURED ROOF,17,68600,31100,128940,3497,54,16.4592,62.5,19.05,77.1,23.49,28.34756685,Wide,Flat
232169,Commercial,Model 5417 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,17,63400,28800,128940,3509,54,16.4592,62.5,19.05,77.1,23.49,28.34756685,Wide,Flat
232170,Commercial,Model 5418 Wide-Corr Centurion Bin STRUCTURED ROOF,18,74000,33550,136060,3690,54,16.4592,66.2,20.17,80.7,24.61,28.34756685,Wide,Flat
232170,Commercial,Model 5418 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,18,68900,31250,136480,3702,54,16.4592,66.2,20.17,80.7,24.61,28.34756685,Wide,Flat
232171,Commercial,Model 5419 Wide-Corr Centurion Bin STRUCTURED ROOF,19,79000,35850,143140,3882,54,16.4592,69.9,21.29,84.4,25.73,28.34756685,Wide,Flat
232171,Commercial,Model 5419 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,19,79000,33550,143140,3894,54,16.4592,69.9,21.29,84.4,25.73,28.34756685,Wide,Flat
232172,Commercial,Model 5420 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,20,85100,36300,150220,4086,54,16.4592,73.5,22.41,88.1,26.85,28.34756685,Wide,Flat
232172,Commercial,Model 5420 Wide-Corr Centurion Bin STRUCTURED ROOF,20,85100,38600,150220,4074,54,16.4592,73.5,22.41,88.1,26.85,28.34756685,Wide,Flat
232173,Commercial,Model 5421 Wide-Corr Centurion Bin STRUCTURED ROOF,21,90700,41150,157300,4266,54,16.4592,77.2,23.53,91.7,27.96,28.29361428,Wide,Flat
232173,Commercial,Modle 5421 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,21,85600,38850,157720,4278,54,16.4592,77.2,23.53,91.7,27.96,28.29361428,Wide,Flat
232174,Commercial,Model 5422 Wide-Corr Centurion Bin STRUCTURED ROOF,22,97500,44250,164380,4459,54,16.4592,80.9,24.65,95.4,29.08,28.29361428,Wide,Flat
232174,Commercial,Model 5422 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,22,92500,41950,164800,4470,54,16.4592,80.9,24.65,95.4,29.08,28.29361428,Wide,Flat
232175,Commercial,Model 5423 Wide-Corr Centurion Bin STRUCTURED ROOF,23,107200,48600,171460,4651,54,16.4592,84.5,25.76,99.1,30.2,28.34756685,Wide,Flat
232175,Commercial,Model 5423 Wide-Corr Centurion Bin UNSTRUCTURED ROOF,23,102100,46300,171880,4662,54,16.4592,84.5,25.76,99.1,30.2,28.34756685,Wide,Flat
232181,Commercial,Model 6009 Wide-Corr Centurion Bin,09,40900,18550,90500,2455,60,18.288,33.2,10.11,50,15.24,29.29345456,Wide,Flat
232182,Commercial,Modle 6010 Wide-Corr Centurion Bin,10,44900,20400,99240,2692,60,18.288,36.8,11.23,53.7,16.36,29.29345456,Wide,Flat
232183,Commercial,Model 6011 Wide-Corr Centurion Bin,11,49500,22450,107980,2929,60,18.288,40.5,12.35,57.3,17.48,29.29345456,Wide,Flat
232184,Commercial,Model 6012 Wide-Corr Centurion Bin,12,54100,24550,116720,3166,60,18.288,44.2,13.46,61,16.6,18.95219354,Wide,Flat
232185,Commercial,Model 6013 Wide-Corr Centurion Bin,13,59700,27050,125460,3403,60,18.288,47.8,14.58,64.7,19.71,29.29345456,Wide,Flat
232186,Commercial,Model 6014 Wide-Corr Centurion Bin,14,64400,29200,134200,3640,60,18.288,51.5,15.7,68.3,20.83,29.29345456,Wide,Flat
232187,Commercial,Model 6015 Wide-Corr Centurion Bin,15,69900,31700,142940,3877,60,18.288,55.2,16.82,72,21.95,29.29345456,Wide,Flat
232188,Commercial,Model 6016 Wide-Corr Centurion Bin,16,76600,34700,151680,4114,60,18.288,58.8,17.93,75.7,23.07,29.34109122,Wide,Flat
232189,Commercial,Model 6017 Wide-Corr Centurion Bin,17,83100,37700,160420,4351,60,18.288,62.5,19.05,79.3,24.18,29.29345456,Wide,Flat
232190,Commercial,Model 6018 Wide-Corr Centurion Bin,18,88900,40300,169210,4590,60,18.288,62.2,20.17,83,25.31,29.34109122,Wide,Flat
232191,Commercial,Model 6019 Wide-Corr Centurion Bin,19,95200,43150,177960,4827,60,18.288,69.9,21.29,86.7,26.43,29.34109122,Wide,Flat
232192,Commercial,Modle 6020 Wide-Corr Centurion Bin,20,102500,46450,186700,5064,60,18.288,73.5,22.41,90.4,27.54,29.29345456,Wide,Flat
232193,Commercial,Model 6021 Wide-Corr Centurion Bin,21,109600,49700,19544,5301,60,18.288,77.2,23.53,94,28.66,29.29345456,Wide,Flat
232194,Commercial,Model 6022 Wide-Corr Centurion Bin,22,118100,53600,204180,5538,60,18.288,80.9,24.65,97.7,29.78,29.29345456,Wide,Flat
232195,Commercial,Model 6023 Wide-Corr Centurion Bin,23,126200,57250,212920,5775,60,18.288,84.5,25.76,101.4,30.91,29.3886834,Wide,Flat
232201,Commercial,Model 7209 Wide-Corr Centurion Bin,09,58500,26550,132460,3593,72,21.9456,33.2,10.11,53.5,16.29,29.3886834,Wide,Flat
232202,Commercial,Model 7210 Wide-Corr Centurion Bin,10,63900,29000,145050,3934,72,21.9456,36.8,11.23,57.1,17.41,29.3886834,Wide,Flat
232203,Commercial,Model 7211 Wide-Corr Centurion Bin,11,70100,31800,157630,4276,72,21.9456,40.5,12.35,60.8,18.53,29.3886834,Wide,Flat
232204,Commercial,Model 7212 Wide-Corr Centurion Bin,12,76700,34800,170220,4617,72,21.9456,44.2,13.46,64.5,19.65,29.42830956,Wide,Flat
232205,Commercial,Model 7213 Wide-Corr Centurion Bin,13,83800,38000,182810,4959,72,21.9456,47.8,14.58,68.1,20.76,29.3886834,Wide,Flat
232206,Commercial,Modle 7214 Wide-Corr Centurion Bin,14,90100,40850,195400,5300,72,21.9456,51.5,15.7,71.8,21.88,29.3886834,Wide,Flat
232207,Commercial,Model 7215 Wide-Corr Centurion Bin,15,99400,45100,207980,5641,72,21.9456,55.2,16.82,75.5,23,29.3886834,Wide,Flat
232208,Commercial,Model 7216 Wide-Corr Centurion Bin,16,109300,49600,220570,5983,72,21.9456,58.8,17.93,79.1,24.12,29.42830956,Wide,Flat
232209,Commercial,Model 7217 Wide-Corr Centurion Bin,17,118100,53550,233230,6326,72,21.9456,62.5,19.06,82.8,25.24,29.3886834,Wide,Flat
232210,Commercial,Model 7218 Wide-Corr Centurion Bin,18,126700,57450,245810,6667,72,21.9456,66.2,20.17,86.5,26.36,29.42830956,Wide,Flat
232211,Commercial,Model 7219 Wide-Corr Centurion Bin,19,136500,61900,258400,7009,72,21.9456,69.9,21.29,90.1,27.48,29.42830956,Wide,Flat
232212,Commercial,Model 7220 Wide-Corr Centurion Bin,20,147000,66650,270990,7350,72,21.9456,73.5,22.41,93.8,28.59,29.3886834,Wide,Flat
232213,Commercial,Model 7221 Wide-Corr Centurion Bin,21,159300,72250,283570,7692,72,21.9456,77.2,23.53,97.5,29.71,29.3886834,Wide,Flat
232214,Commercial,Model 7222 Wide-Corr Centurion Bin,22,169800,77000,296160,8033,72,21.9456,80.9,24.65,101.1,30.83,29.3886834,Wide,Flat
232215,Commercial,Model 7223 Wide-Corr Centurion Bin,23,183700,83300,308750,8375,72,21.9456,84.5,25.76,104.8,31.95,29.42830956,Wide,Flat
232221,Commercial,Model 7509 Wide-Corr Centurion Bin,09,62300,28250,146550,3975,75,22.86,33.2,10.11,54.6,16.64,29.73948266,Wide,Flat
232222,Commercial,Model 7510 Wide-Corr Centurion Bin,10,68300,31000,160200,4345,75,22.86,36.8,11.23,58.2,17.75,29.70167589,Wide,Flat
232223,Commercial,Model 7511 Wide-Corr Centurion Bin,11,75600,34250,173860,4716,75,22.86,40.5,12.35,61.9,18.87,29.70167589,Wide,Flat
232224,Commercial,Model 7512 Wide-Corr Centurion Bin,12,82200,37250,187520,5086,75,22.86,44.2,13.46,65.6,19.99,29.73948266,Wide,Flat
232225,Commercial,Model 7513 Wide-Corr Centurion Bin,13,89400,40550,201180,5457,75,22.86,47.8,14.58,69.2,21.11,29.73948266,Wide,Flat
232226,Commercial,Model 7514 Wide-Corr Centurion Bin,14,97200,44050,214830,5827,75,22.86,51.5,15.7,72.9,22.22,29.70167589,Wide,Flat
232227,Commercial,Model 7515 Wide-Corr Centurion Bin,15,106800,48450,228490,6198,75,22.86,55.2,16.82,76.6,23.34,29.70167589,Wide,Flat
232228,Commercial,Model 7516 Wide-Corr Centurion Bin,16,115000,52150,242150,6568,75,22.86,58.8,17.93,80.2,24.46,29.73948266,Wide,Flat
232229,Commercial,Model 7517 Wide-Corr Centurion Bin,17,126100,57200,255880,6941,75,22.86,62.5,19.06,83.9,25.58,29.70167589,Wide,Flat
232230,Commercial,Model 7518 Wide-Corr Centurion Bin,18,136000,61700,269540,7311,75,22.86,66.2,20.17,87.6,26.7,29.73948266,Wide,Flat
232231,Commercial,Model 7519 Wide-Corr Centurion Bin,19,147300,66800,283200,7682,75,22.86,69.9,21.29,91.3,27.82,29.73948266,Wide,Flat
232232,Commercial,Model 7520 Wide-Corr Centurion Bin,20,158300,71800,296860,8052,75,22.86,73.5,22.41,94.9,28.94,29.73948266,Wide,Flat
232233,Commercial,Model 7521 Wide-Corr Centurion Bin,21,172400,78150,310510,8422,75,22.86,77.2,23.53,98.6,30.05,29.70167589,Wide,Flat
232234,Commercial,Model 7522 Wide-Corr Centurion Bin,22,184800,83800,324170,8793,75,22.86,80.9,24.65,102.3,31.17,29.70167589,Wide,Flat
232235,Commercial,Model 7523 Wide-Corr Centurion Bin,23,199300,90400,337830,9163,75,22.86,84.5,25.76,105.9,32.29,29.73948266,Wide,Flat
232241,Commercial,Model 7809 Wide-Corr Centurion Bin,09,69800,31650,158020,4286,78,23.7744,33.2,10.11,55.2,16.82,29.44354217,Wide,Flat
232242,Commercial,Model 7810 Wide-Corr Centurion Bin,10,76200,34600,172790,4687,78,23.7744,36.8,11.23,58.8,17.94,29.44354217,Wide,Flat
232243,Commercial,Model 7811 Wide-Corr Centurion Bin,11,84200,38200,187560,5087,78,23.7744,40.5,12.35,62.5,19.05,29.40697624,Wide,Flat
232244,Commercial,Model 7812 Wide-Corr Centurion Bin,12,91100,41300,202330,5488,78,23.7744,44.2,13.46,66.2,20.17,29.44354217,Wide,Flat
232245,Commercial,Model 7813 Wide-Corr Centurion Bin,13,99900,45300,217100,5889,78,23.7744,47.8,14.58,69.8,21.29,29.44354217,Wide,Flat
232246,Commercial,Model 7814 Wide-Corr Centurion Bin,14,108300,49100,231880,6289,78,23.7744,51.5,15.7,73.5,22.41,29.44354217,Wide,Flat
232247,Commercial,Model 7815 Wide-Corr Centurion Bin,15,118400,53700,246650,6690,78,23.7744,55.2,16.82,77.2,23.53,29.44354217,Wide,Flat
232248,Commercial,Model 7816 Wide-Corr Centurion Bin,16,126800,57500,261420,7091,78,23.7744,58.8,17.93,80.8,24.64,29.44354217,Wide,Flat
232249,Commercial,Model 7817 Wide-Corr Centurion Bin,17,139600,63300,276280,7494,78,23.7744,62.5,19.06,84.5,25.77,29.44354217,Wide,Flat
232250,Commercial,Model 7818 Wide-Corr Centurion Bin,18,150000,68000,291050,7894,78,23.7744,66.2,20.17,88.2,26.88,29.44354217,Wide,Flat
232251,Commercial,Model 7819 Wide-Corr Centurion Bin,19,164100,74400,305820,8295,78,23.7744,69.9,21.29,91.9,28,29.44354217,Wide,Flat
