Diameter (ft),Rings,Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,U.S. Tons Wheat,Metric Tons Wheat,Low Floor,High Floor,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
33,9,74-03333,"25,904",684.3,620.8,729.9,662.1,"25,081","24,800","33'2""",10.11,"42'2""",12.86,10.05839968,28.67013255,Wide,Flat
33,10,74-03337,"28,543",754,684,804.3,729.6,"27,721","27,440","36'10""",11.22,"45'11""",13.99,10.05839968,28.84524525,Wide,Flat
36,4,74-03615,"15,349",405.5,367.8,432.5,392.3,"14,370","14,035","14'10""",4.52,"24'8""",7.53,10.97279965,28.75046546,Wide,Flat
36,5,74-03618,"18,491",488.4,443.1,521,472.7,"17,512","17,177","18'6""",5.63,"28'5""",8.66,10.97279965,28.91076105,Wide,Flat
36,6,74-03622,"21,633",571.4,518.4,609.5,553,"20,653","20,319","22'2""",6.75,"32'0""",9.75,10.97279965,28.67013255,Wide,Flat
36,7,74-03626,"24,774",654.4,593.7,698,633.3,"23,795","23,460","25'10""",7.87,"35'8""",10.88,10.97279965,28.75046546,Wide,Flat
36,8,74-03629,"27,916",737.4,669,786.6,713.6,"26,937","26,602","29'6""",8.99,"39'5""",12.01,10.97279965,28.83067497,Wide,Flat
36,9,74-03633,"31,058",820.4,744.3,875.1,793.9,"30,078","29,744","33'2""",10.11,"43'0""",13.11,10.97279965,28.67013255,Wide,Flat
36,10,74-03637,"34,199",903.4,819.5,963.6,874.2,"33,220","32,885","36'10""",11.22,"46'8""",14.23,10.97279965,28.75046546,Wide,Flat
42,4,74-04215,"21,512",568.3,515.5,606.1,549.9,"20,179","19,724","14'10""",4.52,"26'6""",8.08,12.80159959,29.08195834,Wide,Flat
42,5,74-04218,"25,789",681.2,618,726.6,659.2,"24,456","24,001","18'6""",5.63,"30'2""",9.2,12.80159959,29.15027847,Wide,Flat
42,6,74-04222,"30,066",794.2,720.5,847.2,768.5,"28,733","28,278","22'2""",6.75,"33'10""",10.3,12.80159959,29.01354747,Wide,Flat
42,7,74-04226,"34,343",907.2,823,967.7,877.9,"33,010","32,555","25'10""",7.87,"37'6""",11.43,12.80159959,29.08195834,Wide,Flat
42,8,74-04229,"38,620","1,020.20",925.5,"1,088.20",987.2,"37,287","36,832","29'6""",8.99,"41'2""",12.56,12.80159959,29.15027847,Wide,Flat
42,9,74-04233,"42,897","1,133.10","1,028.00","1,208.70","1,096.50","41,564","41,108","33'2""",10.11,"44'10""",13.66,12.80159959,29.01354747,Wide,Flat
42,10,74-04237,"47,174","1,246.10","1,130.50","1,329.20","1,205.80","45,841","45,385","36'10""",11.22,"48'6""",14.78,12.80159959,29.08195834,Wide,Flat
48,4,74-04815,"28,907",763.6,692.7,814.5,738.9,"27,166","26,571","14'10""",4.52,"28'2""",8.6,14.63039953,29.15027847,Wide,Flat
48,5,74-04818,"34,494",911.2,826.6,971.9,881.7,"32,753","32,158","18'6""",5.63,"31'11""",9.72,14.63039953,29.20998414,Wide,Flat
48,6,74-04822,"40,081","1,058.80",960.5,"1,129.30","1,024.50","38,340","37,745","22'2""",6.75,"35'6""",10.82,14.63039953,29.09050332,Wide,Flat
48,7,74-04826,"45,668","1,206.30","1,094.40","1,286.80","1,167.30","43,927","43,332","25'10""",7.87,"39'2""",11.95,14.63039953,29.15027847,Wide,Flat
48,8,74-04829,"51,255","1,353.90","1,228.30","1,444.20","1,310.20","49,514","48,919","29'6""",8.99,"42'11""",13.08,14.63039953,29.20998414,Wide,Flat
48,9,74-04833,"56,842","1,501.50","1,362.20","1,601.60","1,453.00","55,101","54,506","33'2""",10.11,"46'6""",14.17,14.63039953,29.03065869,Wide,Flat
48,10,74-04837,"62,429","1,649.10","1,496.00","1,759.00","1,595.80","60,688","60,093","36'10""",11.22,"50'2""",15.3,14.63039953,29.15027847,Wide,Flat
12,4,7-01204,"1,120",29.6,26.8,31.5,28.6,"1,011",974,"10'10""",3.29,"13'9""",4.2,3.657599883,26.45466522,Narrow,Flat
12,5,7-01205,"1,373",36.3,32.9,38.7,35.1,"1,264","1,227","13'6""",4.11,"16'5""",5,3.657599883,25.95023821,Narrow,Flat
12,6,7-01206,"1,626",42.9,39,45.8,41.6,"1,517","1,480","16'2""",4.94,"19'1""",5.8,3.657599883,25.18543085,Narrow,Flat
12,7,7-01207,"1,879",49.6,45,52.9,48,"1,770","1,733","18'10""",5.73,"21'9""",6.6,3.657599883,25.44145153,Narrow,Flat
12,8,7-01208,"2,132",56.3,51.1,60.1,54.5,"2,024","1,987","21'6""",6.55,"24'5""",7.4,3.657599883,24.92832969,Narrow,Flat
12,9,7-01209,"2,385",63,57.2,67.2,61,"2,277","2,240","24'2""",7.38,"27'1""",8.3,3.657599883,26.70523704,Narrow,Flat
15,4,7-01504,"1,790",47.3,42.9,50.4,45.8,"1,620","1,562","10'10""",3.29,"14'8""",4.48,4.571999854,27.49967976,Narrow,Flat
15,5,7-01505,"2,186",57.7,52.4,61.6,55.9,"2,016","1,958","13'6""",4.11,"17'5""",5.3,4.571999854,27.49967976,Narrow,Flat
15,6,7-01506,"2,582",68.2,61.9,72.7,66,"2,412","2,354","16'2""",4.94,"20'0""",6.1,4.571999854,26.90490426,Narrow,Flat
15,7,7-01507,"2,978",78.7,71.4,83.9,76.1,"2,808","2,750","18'10""",5.73,"22'8""",6.92,4.571999854,27.49967976,Narrow,Flat
15,8,7-01508,"3,373",89.1,80.8,95.1,86.2,"3,204","3,146","21'6""",6.55,"25'5""",7.74,4.571999854,27.49967976,Narrow,Flat
