Sub-Brand,Bin Series,Diameter (ft),Rings,Maximum Capactiy (Bushels) No Plenum,Eave Height (ft),Peak Height (ft),Capacity (cu. ft),Metric Tons 800 kg/m^3,Metric Tons 721 kg/m^3,Metric Tons 640 kg/m^3,Eave Height (m),Peak Height (m),Maximum Cap. (cu. m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,22,"44,457","58'10""","68'4""","52,176","1,251","1,131",998,17.93,20.85,"1,467",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,23,"46,380","61'6""","71'0""","54,433","1,305","1,180","1,041",18.75,21.67,"1,530",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,24,"48,303","64'2""","73'8""","56,690","1,359","1,229","1,084",19.56,22.48,"1,593",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,25,"50,226","66'10""","76'4""","58,947","1,413","1,278","1,127",20.37,23.29,"1,656",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,26,"52,149","69'6""","79'0""","61,204","1,467","1,327","1,170",21.18,24.1,"1,719",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,27,"54,072","72'2""","81'8""","63,461","1,521","1,376","1,213",22,24.92,"1,782",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,28,"55,995","74'10""","84'4""","65,718","1,575","1,425","1,256",22.81,25.73,"1,845",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,29,"57,918","77'6""","87'0""","67,975","1,629","1,474","1,299",23.62,26.54,"1,908",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,30,"59,841","80'2""","89'8""","70,232","1,683","1,523","1,342",24.43,27.35,"1,971",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,31,"61,764","82'10""","92'4""","72,489","1,737","1,572","1,385",25.25,28.17,"2,034",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,33,32,"63,687","85'6""","95'0""","74,746","1,791","1,621","1,428",26.06,28.98,"2,097",10.05839968,30.13984721,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,12,"30,249","32'2""","42'7""","35,500",852,768,682,9.8,12.98,"1,005",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,13,"32,538","34'10""","45'3""","38,186",917,826,734,10.62,13.8,"1,081",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,14,"34,826","37'6""","47'11""","40,871",981,885,785,11.43,14.61,"1,157",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,15,"37,114","40'2""","50'7""","43,557","1,046",943,837,12.24,15.42,"1,233",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,16,"39,403","42'10""","53'3""","46,243","1,110","1,001",888,13.06,16.24,"1,309",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,17,"41,691","45'6""","55'11""","48,928","1,175","1,059",940,13.87,17.05,"1,386",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,18,"43,980","48'2""","58'7""","51,614","1,239","1,117",992,14.68,17.86,"1,462",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,19,"46,268","50'10""","61'3""","54,300","1,304","1,175","1,043",15.49,18.67,"1,538",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,20,"48,557","53'6""","63'11""","56,986","1,368","1,233","1,095",16.31,19.49,"1,614",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,21,"50,845","56'2""","66'7""","59,671","1,433","1,291","1,146",17.12,20.3,"1,690",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,22,"53,134","58'10""","69'3""","62,357","1,497","1,349","1,198",17.93,21.11,"1,766",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,23,"55,422","61'6""","71'11""","65,043","1,562","1,408","1,250",18.75,21.93,"1,842",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,24,"57,711","64'2""","74'7""","67,729","1,626","1,466","1,301",19.56,22.74,"1,918",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,25,"59,999","66'10""","77'3""","70,414","1,691","1,524","1,353",20.37,23.55,"1,994",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,26,"62,288","69'6""","79'11""","73,100","1,755","1,582","1,404",21.18,24.36,"2,070",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,27,"64,576","72'2""","85'7""","75,786","1,820","1,640","1,456",22,25.18,"2,146",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,28,"66,865","74'10""","85'3""","78,482","1,884","1,698","1,507",22.81,25.99,"2,222",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,29,"69,153","77'6""","87'11""","81,157","1,949","1,756","1,559",23.62,26.8,"2,298",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,30,"71,442","80'2""","90'7""","83,843","2,013","1,814","1,611",24.43,27.61,"2,374",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,31,"73,730","82'10""","93'3""","86,529","2,078","1,873","1,662",25.24,28.42,"2,450",10.97279965,30.09722706,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,36,32,"76,019","85'6""","95'11""","89,215","2,142","1,931","1,714",26.06,29.23,"2,526",10.97279965,30.01899458,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,12,"41,790","32'2""","44'4""","49,044","1,178","1,061",942,9.8,13.49,"1,389",12.80159959,29.96303854,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,13,"44,905","34'10""","47'0""","52,700","1,265","1,140","1,012",10.62,14.31,"1,492",12.80159959,29.96303854,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,14,"48,020","37'6""","49'8""","56,355","1,353","1,220","1,083",11.43,15.12,"1,596",12.80159959,29.96303854,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,15,"51,135","40'2""","52'4""","60,011","1,441","1,299","1,153",12.24,15.93,"1,699",12.80159959,29.96303854,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,16,"54,250","42'10""","54'0""","63,667","1,529","1,378","1,223",13.06,16.44,"1,803",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,17,"57,365","45'6""","56'8""","67,322","1,617","1,457","1,293",13.87,17.25,"1,906",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,18,"60,479","48'2""","59'4""","70,978","1,704","1,536","1,364",14.68,18.06,"2,010",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,19,"63,594","50'10""","62'0""","74,633","1,792","1,615","1,434",15.49,18.88,"2,113",12.80159959,27.90664812,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,20,"66,709","53'6""","64'8""","78,289","1,880","1,694","1,504",16.31,19.69,"2,217",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,21,"69,824","56'2""","67'4""","81,944","1,968","1,773","1,574",17.12,20.5,"2,320",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,22,"72,939","58'10""","70'0""","85,600","2,055","1,852","1,644",17.93,21.31,"2,424",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,23,"76,054","61'6""","72'8""","89,256","2,143","1,932","1,715",18.75,22.13,"2,527",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,24,"79,169","64'2""","75'4""","92,911","2,231","2,011","1,785",19.56,22.94,"2,631",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,25,"82,284","66'10""","78""0""","96,567","2,319","2,090","1,855",20.37,23.75,"2,734",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,26,"85,399","69'6""","80'8""","100,222","2,406","2,169","1,925",21.18,24.57,"2,838",12.80159959,27.90664812,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,27,"88,513","72'2""","83'4""","103,878","2,494","2,248","1,996",22,25.38,"2,941",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,28,"91,628","74'10""","86'0""","107,534","2,582","2,327","2,066",22.81,26.19,"3,045",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,29,"94,743","77'6""","88'8""","111,189","2,670","2,406","2,136",23.62,27,"3,149",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,30,"97,858","80'2""","91'4""","114,845","2,758","2,485","2,206",24.43,27.82,"3,252",12.80159959,27.90664812,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,42,31,"100,973","82'10""","94'0""","118,500","2,845","2,564","2,276",25.25,28.63,"3,356",12.80159959,27.83669779,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,12,"55,390","32'2""","46'1""","65,005","1,561","1,407","1,249",9.8,14.03,"1,841",14.63039953,30.03856429,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,13,"59,458","34'10""","48'9""","69,779","1,676","1,510","1,341",10.62,14.84,"1,976",14.63039953,29.97983198,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,14,"63,527","37'6""","51'5""","74,554","1,790","1,613","1,432",11.43,15.66,"2,111",14.63039953,30.03856429,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,15,"67,595","40'2""","53'1""","79,329","1,905","1,717","1,524",12.24,16.17,"2,246",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,16,"71,664","42'10""","55'9""","84,103","2,019","1,820","1,616",13.06,16.98,"2,382",14.63039953,28.18554568,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,17,"75,732","45'6""","58'5""","88,878","2,134","1,923","1,707",13.87,17.8,"2,517",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,18,"79,800","48'2""","61'1""","93,653","2,249","2,027","1,799",14.68,18.61,"2,652",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,19,"83,869","50'10""","63'9""","98,427","2,363","2,130","1,891",15.49,19.42,"2,787",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,20,"87,937","53'6""","66'5""","103,202","2,478","2,233","1,983",16.31,20.23,"2,922",14.63039953,28.18554568,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,21,"92,006","56'2""","69'1""","107,977","2,593","2,337","2,074",17.12,21.05,"3,058",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,22,"96,074","58'10""","71'9""","112,751","2,707","2,440","2,166",17.93,21.86,"3,193",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,23,"100,143","61'6""","74'5""","117,526","2,822","2,543","2,258",18.75,22.67,"3,328",14.63039953,28.18554568,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,24,"104,211","64'2""","77'1""","122,300","2,937","2,647","2,349",19.56,23.48,"3,463",14.63039953,28.18554568,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,25,"108,279","66'10""","79'9""","127,075","3,051","2,750","2,441",20.37,24.3,"3,598",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,26,"112,348","69'6""","82'5""","131,850","3,166","2,853","2,533",21.18,25.11,"3,734",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,27,"116,416","72'2""","85'1""","133,624","3,281","2,957","2,625",22,25.92,"3,859",14.63039953,28.18554568,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,28,"120,485","74'10""","87'9""","141,399","3,395","3,060","2,716",22.81,26.74,"4,004",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,29,"124,553","77'6""","90'5""","146,174","3,510","3,163","2,808",23.62,27.55,"4,139",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,30,"128,622","80'2""","93'1""","150,948","3,625","3,267","2,900",24.43,28.36,"4,274",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,31,"132,690","82'10""","95'9""","155,723","3,739","3,370","2,992",25.25,29.17,"4,410",14.63039953,28.18554568,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,48,32,"136,758","85'6""","98'5""","160,498","3,854","3,473","3,083",26.06,29.99,"4,545",14.63039953,28.24636164,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,12,"71,124","32'2""","46'5""","83,470","2,004","1,806","1,604",9.8,14.14,"2,364",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,13,"76,273","34'10""","49'1""","89,513","2,149","1,937","1,720",10.62,14.95,"2,535",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,14,"81,422","37'6""","51'9""","95,556","2,294","2,068","1,836",11.43,15.76,"2,706",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,15,"86,571","40'2""","54'5""","101,599","2,440","2,199","1,952",12.24,16.58,"2,877",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,16,"91,720","42'10""","57'1""","107,642","2,585","2,329","2,068",13.06,17.39,"3,048",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,17,"96,870","45'6""","59'9""","113,685","2,730","2,460","2,184",13.87,18.2,"3,219",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,18,"102,019","48'2""","62'5""","119,728","2,875","2,591","2,300",14.68,19.01,"3,390",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,19,"107,168","50'10""","65'1""","125,771","3,020","2,722","2,416",15.49,19.83,"3,561",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,20,"112,317","53'6""","67'9""","131,813","3,165","2,853","2,532",16.31,20.64,"3,733",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,21,"117,466","56'2""","70'5""","137,856","3,310","2,983","2,648",17.12,21.45,"3,904",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,22,"122,615","58'10""","73'1""","143,899","3,455","3,114","2,764",17.93,22.27,"4,075",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,23,"127,764","61'6""","75'9""","149,942","3,600","3,245","2,880",18.75,23.08,"4,246",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,24,"132,913","64'2""","78'5""","155,985","3,745","3,376","2,997",19.56,23.89,"4,417",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,25,"138,062","66'10""","81'1""","162,028","3,891","3,506","3,113",20.37,24.7,"4,588",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,26,"143,212","69'6""","83'9""","168,071","4,036","3,637","3,229",21.18,25.52,"4,759",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,27,"148,362","72'2""","86'5""","174,114","4,181","3,768","3,345",22,26.33,"4,930",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,28,"153,510","74'10""","89'1""","180,157","4,326","3,899","3,461",22.81,27.14,"5,101",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,29,"158,659","77'6""","91'9""","186,200","4,471","4,030","3,577",23.62,27.96,"5,273",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,30,"163,808","80'2""","94'5""","192,243","4,616","4,160","3,693",24.43,28.77,"5,444",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,31,"168,957","82'10""","97'1""","198,285","4,761","4,291","3,809",25.25,29.58,"5,615",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,32,"174,106","85'6""","99'9""","204,328","4,906","4,422","3,925",26.06,30.39,"5,786",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,33,"179,255","88'2""","102'5""","210,371","5,051","4,553","4,041",26.87,31.21,"5,957",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,34,"184,404","90'10""","105'1""","216,414","5,196","4,683","4,157",27.69,32.02,"6,128",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,35,"189,553","93'6""","107'9""","222,457","5,342","4,814","4,274",28.5,32.83,"6,299",16.45919947,27.75108031,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,36,"194,703","96'2""","110'5""","228,500","5,487","4,945","4,390",29.31,33.65,"6,470",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,37,"199,852","98'10""","113'1""","234,543","5,632","5,076","4,506",30.12,34.46,"6,642",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,38,"205,001",101'6,"115'9""","240,586","5,777","5,207","4,622",30.93,35.27,"6,814",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,39,"210,150","104'2""","118'5""","246,629","5,922","5,338","4,738",31.74,36.08,"6,986",16.45919947,27.80557977,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,54,40,"215,299","106'10""","121'1""","252,672","6,067","5,469","4,854",32.55,36.9,"715,824",16.45919947,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,12,"89,068","32'2""","48'2""","104,529","2,510","2,262","2,008",9.8,14.68,"2,960",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,13,"95,425","34'10""","50'10""","111,990","2,689","2,424","2,151",10.62,15.49,"3,171",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,14,"101,782","37'6""","53'6""","119,450","2,868","2,585","2,295",11.43,16.31,"3,382",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,15,"108,139","40'2""","56'2""","126,910","3,047","2,746","2,438",12.24,17.12,"3,594",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,16,"114,496","42'10""","58'10""","134,371","3,226","2,908","2,581",13.06,17.93,"3,805",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,17,"120,853","45'6""","61'6""","141,831","3,406","3,069","2,725",13.87,18.74,"4,016",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,18,"127,210","48'2""","64'2""","149,292","3,585","3,231","2,868",14.68,19.56,"4,227",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,19,"133,567","50'10""","66'10""","156,752","3,764","3,392","3,011",15.49,20.37,"4,439",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,20,"139,924","53'6""","69'6""","164,212","3,943","3,554","3,155",16.31,21.18,"4,650",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,21,"146,281","56'2""","72'2""","171,673","4,122","3,715","3,298",17.12,21.99,"4,861",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,22,"152,638","58'10""","74'10""","179,133","4,301","3,877","3,441",17.93,22.81,"5,072",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,23,"158,994","61'6""","77'6""","186,593","4,480","4,038","3,585",18.75,23.62,"5,284",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,24,"165,351","64'2""","80'2""","194,054","4,660","4,200","3,728",19.56,24.43,"5,495",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,25,"171,708","66'10""","82'10""","201,514","4,839","4,361","3,871",20.37,25.25,"5,706",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,26,"178,065","69'6""","85'6""","208,975","5,018","4,522","4,015",21.18,26.06,"5,918",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,27,"184,422","72'2""","88'2""","216,435","5,197","4,684","4,158",22,26.87,"6,129",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,28,"190,779","74'10""","90'10""","223,895","5,376","4,845","4,301",22.81,27.68,"6,340",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,29,"197,136","77'6""","93'6""","231,356","5,555","5,007","4,445",23.62,28.5,"6,551",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,30,"203,493","80'2""","96'2""","238,816","5,734","5,168","4,588",24.43,29.31,"6,763",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,31,"209,850","82'10""","98'10""","246,277","5,913","5,330","4,731",25.25,30.12,"6,974",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,32,"216,207","85'6""","101'6""","253,737","6,093","5,491","4,874",26.06,30.94,"7,185",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,33,"222,564","88'2""","104'2""","261,197","6,272","5,653","5,048",26.87,31.75,"7,396",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,34,"228,921","90'10""","106'10""","268,658","6,451","5,814","5,161",27.69,32.56,"7,608",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,35,"235,277","93'6""","109'6""","276,118","6,630","5,976","5,304",28.5,33.37,"7,819",18.28799941,28.03930482,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,36,"241,634","96'2""","112'2""","283,578","6,809","6,137","5,448",29.31,34.19,"8,030",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,37,"247,991","98'10""","114'10""","291,039","6,988","6,298","5,591",30.12,35,"8,241",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,38,"254,348",101'6,"117'6""","298,500","7,167","6,459","5,734",30.93,35.81,"8,452",18.28799941,28.08809608,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,39,"260,705","104'2""","120'2""","305,961","7,346","6,620","5,877",31.74,36.63,"8,663",18.28799941,28.13684304,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,60,40,"267,062","106'10""","122'10""","313,422","7,525","6,781","6,020",32.55,37.44,"8,874",18.28799941,28.13684304,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,12,"131,890","32'2""","50'8""","154,784","3,717","3,350","2,973",9.8,15.43,"4,383",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,13,"141,044","34'10""","53'4""","165,527","3,975","3,582","3,180",10.62,16.25,"4,687",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,14,"150,197","37'5""","56'0""","176,269","4,233","3,815","3,386",11.43,17.06,"4,991",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,15,"159,351","40'2""","58'8""","187,012","4,490","4,047","3,593",12.24,17.87,"5,296",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,16,"168,505","42'10""","61'4""","197,755","4,748","4,280","3,799",13.06,18.69,"5,600",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,17,"177,659","45'6""","64'0""","208,498","5,006","4,512","4,005",13.87,19.5,"5,904",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,18,"186,813","48'2""","66'8""","219,241","5,264","4,745","4,212",14.68,20.31,"6,208",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,19,"195,967","50'10""","69'4""","229,984","5,522","4,977","4,418",15.49,21.12,"6,512",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,20,"205,121","53'6""","72'0""","240,727","5,780","5,210","4,625",16.31,21.94,"6,817",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,21,"214,275","56'2""","74'8""","251,470","6,038","5,442","4,831",17.12,22.75,"7,121",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,22,"223,429","58'10""","77'4""","262,213","6,296","5,675","5,037",17.93,23.56,"7,425",21.9455993,27.16176615,Narrow,Flat
